# started 2026-08-31 21:19:10
# cached: delta=0.005 N=10 (100 trials reused)
# cached: delta=0.010 N=10 (100 trials reused)
# cached: delta=0.015 N=10 (100 trials reused)
# cached: delta=0.020 N=10 (100 trials reused)
# cached: delta=0.030 N=10 (100 trials reused)
21:32:22 | delta=0.008 | trial   9 | gates= 184 |  101.3s | overall 711/1000
21:32:25 | delta=0.008 | trial  13 | gates= 186 |   89.4s | overall 712/1000
21:32:27 | delta=0.008 | trial  18 | gates= 190 |   86.7s | overall 713/1000
21:32:27 | delta=0.008 | trial  11 | gates= 180 |   97.7s | overall 714/1000
21:32:28 | delta=0.008 | trial  14 | gates= 182 |   92.3s | overall 715/1000
21:32:33 | delta=0.008 | trial  19 | gates= 184 |   91.9s | overall 716/1000
21:32:36 | delta=0.008 | trial  15 | gates= 180 |   98.5s | overall 717/1000
21:32:38 | delta=0.008 | trial  16 | gates= 182 |   98.6s | overall 718/1000
21:32:38 | delta=0.008 | trial  23 | gates= 184 |   93.1s | overall 719/1000
21:32:39 | delta=0.008 | trial  20 | gates= 180 |   97.5s | overall 720/1000
21:32:39 | delta=0.008 | trial  17 | gates= 188 |   99.3s | overall 721/1000
21:32:40 | delta=0.008 | trial  22 | gates= 182 |   98.2s | overall 722/1000
21:32:41 | delta=0.008 | trial  21 | gates= 182 |   99.1s | overall 723/1000
21:32:45 | delta=0.008 | trial  24 | gates= 186 |   98.9s | overall 724/1000
21:32:49 | delta=0.008 | trial  26 | gates= 182 |   84.7s | overall 725/1000
21:32:53 | delta=0.008 | trial  25 | gates= 184 |  103.2s | overall 726/1000
21:32:57 | delta=0.008 | trial  28 | gates= 182 |   84.9s | overall 727/1000
21:33:02 | delta=0.008 | trial  27 | gates= 180 |   93.4s | overall 728/1000
21:33:16 | delta=0.008 | trial  30 | gates= 180 |   85.0s | overall 729/1000
21:33:18 | delta=0.008 | trial  29 | gates= 184 |  101.3s | overall 730/1000
21:33:32 | delta=0.008 | trial  32 | gates= 186 |   86.1s | overall 731/1000
21:33:39 | delta=0.008 | trial  31 | gates= 176 |   99.1s | overall 732/1000
21:33:41 | delta=0.008 | trial  36 | gates= 190 |   84.4s | overall 733/1000
21:33:53 | delta=0.008 | trial  43 | gates= 184 |   84.7s | overall 734/1000
21:33:56 | delta=0.008 | trial  42 | gates= 186 |   88.8s | overall 735/1000
21:33:57 | delta=0.008 | trial  33 | gates= 186 |  101.0s | overall 736/1000
21:33:57 | delta=0.008 | trial  41 | gates= 186 |   90.0s | overall 737/1000
21:33:58 | delta=0.008 | trial  39 | gates= 186 |   95.8s | overall 738/1000
21:33:58 | delta=0.008 | trial  34 | gates= 182 |  101.8s | overall 739/1000
21:33:59 | delta=0.008 | trial  37 | gates= 184 |  100.0s | overall 740/1000
21:33:59 | delta=0.008 | trial  38 | gates= 178 |   98.4s | overall 741/1000
21:34:02 | delta=0.008 | trial  35 | gates= 180 |  105.4s | overall 742/1000
21:34:02 | delta=0.008 | trial  40 | gates= 180 |   97.8s | overall 743/1000
21:34:14 | delta=0.008 | trial  45 | gates= 180 |   97.9s | overall 744/1000
21:34:15 | delta=0.008 | trial  53 | gates= 182 |   85.1s | overall 745/1000
21:34:16 | delta=0.008 | trial  44 | gates= 184 |  102.8s | overall 746/1000
21:34:17 | delta=0.008 | trial  46 | gates= 178 |   99.4s | overall 747/1000
21:34:18 | delta=0.008 | trial  49 | gates= 182 |   99.2s | overall 748/1000
21:34:18 | delta=0.008 | trial  47 | gates= 184 |  100.0s | overall 749/1000
21:34:19 | delta=0.008 | trial  48 | gates= 182 |  100.3s | overall 750/1000
21:34:19 | delta=0.008 | trial  50 | gates= 184 |   98.8s | overall 751/1000
21:34:22 | delta=0.008 | trial  55 | gates= 178 |   85.1s | overall 752/1000
21:34:24 | delta=0.008 | trial  52 | gates= 186 |   99.6s | overall 753/1000
21:34:29 | delta=0.008 | trial  51 | gates= 188 |  107.3s | overall 754/1000
21:34:34 | delta=0.008 | trial  56 | gates= 188 |   91.6s | overall 755/1000
21:34:35 | delta=0.008 | trial  54 | gates= 182 |  102.7s | overall 756/1000
21:34:49 | delta=0.008 | trial  57 | gates= 182 |   93.4s | overall 757/1000
21:34:58 | delta=0.008 | trial  58 | gates= 190 |  100.3s | overall 758/1000
21:35:02 | delta=0.008 | trial  59 | gates= 182 |   89.6s | overall 759/1000
21:35:07 | delta=0.008 | trial  60 | gates= 180 |   87.9s | overall 760/1000
21:35:09 | delta=0.008 | trial  61 | gates= 186 |   87.5s | overall 761/1000
21:35:18 | delta=0.008 | trial  62 | gates= 182 |   84.9s | overall 762/1000
21:35:23 | delta=0.008 | trial  65 | gates= 184 |   86.6s | overall 763/1000
21:35:31 | delta=0.008 | trial  69 | gates= 184 |   91.4s | overall 764/1000
21:35:33 | delta=0.008 | trial  66 | gates= 184 |   95.3s | overall 765/1000
21:35:37 | delta=0.008 | trial  64 | gates= 180 |  100.1s | overall 766/1000
21:35:37 | delta=0.008 | trial  63 | gates= 186 |  101.7s | overall 767/1000
21:35:41 | delta=0.008 | trial  71 | gates= 184 |   98.2s | overall 768/1000
21:35:41 | delta=0.008 | trial  67 | gates= 186 |  102.3s | overall 769/1000
21:35:42 | delta=0.008 | trial  68 | gates= 186 |  103.9s | overall 770/1000
21:35:45 | delta=0.008 | trial  70 | gates= 186 |  102.7s | overall 771/1000
21:35:45 | delta=0.008 | trial  75 | gates= 186 |   87.9s | overall 772/1000
21:35:51 | delta=0.008 | trial  72 | gates= 178 |   97.0s | overall 773/1000
21:35:51 | delta=0.008 | trial  77 | gates= 184 |   92.8s | overall 774/1000
21:35:51 | delta=0.008 | trial  73 | gates= 184 |   96.5s | overall 775/1000
21:35:53 | delta=0.008 | trial  78 | gates= 184 |   94.2s | overall 776/1000
21:35:54 | delta=0.008 | trial  79 | gates= 186 |   94.6s | overall 777/1000
21:35:55 | delta=0.008 | trial  76 | gates= 182 |   97.0s | overall 778/1000
21:35:58 | delta=0.008 | trial  81 | gates= 184 |   93.2s | overall 779/1000
21:36:00 | delta=0.008 | trial  80 | gates= 188 |   97.3s | overall 780/1000
21:36:00 | delta=0.008 | trial  74 | gates= 180 |  104.0s | overall 781/1000
21:36:04 | delta=0.008 | trial  82 | gates= 184 |   95.1s | overall 782/1000
21:36:15 | delta=0.008 | trial  83 | gates= 182 |  100.9s | overall 783/1000
21:36:18 | delta=0.008 | trial  84 | gates= 184 |  103.0s | overall 784/1000
21:36:27 | delta=0.008 | trial  86 | gates= 180 |   89.1s | overall 785/1000
21:36:32 | delta=0.008 | trial  85 | gates= 186 |  103.1s | overall 786/1000
21:36:36 | delta=0.008 | trial  88 | gates= 184 |   89.1s | overall 787/1000
21:36:42 | delta=0.008 | trial  90 | gates= 182 |   84.5s | overall 788/1000
21:36:43 | delta=0.008 | trial  87 | gates= 178 |  101.3s | overall 789/1000
21:36:48 | delta=0.008 | trial  91 | gates= 180 |   84.8s | overall 790/1000
21:36:48 | delta=0.008 | trial  89 | gates= 190 |   99.7s | overall 791/1000
21:36:55 | delta=0.008 | trial  92 | gates= 182 |   84.6s | overall 792/1000
21:37:10 | delta=0.008 | trial 100 | gates= 180 |   85.0s | overall 793/1000
21:37:11 | delta=0.008 | trial  93 | gates= 184 |   97.4s | overall 794/1000
21:37:13 | delta=0.008 | trial  96 | gates= 184 |   92.2s | overall 795/1000
21:37:13 | delta=0.008 | trial  94 | gates= 186 |   96.5s | overall 796/1000
21:37:13 | delta=0.008 | trial  95 | gates= 176 |   96.2s | overall 797/1000
21:37:17 | delta=0.008 | trial  97 | gates= 182 |   96.3s | overall 798/1000
21:37:17 | delta=0.018 | trial   1 | gates= 184 |   86.9s | overall 799/1000
21:37:19 | delta=0.008 | trial  98 | gates= 182 |   96.6s | overall 800/1000
21:37:25 | delta=0.018 | trial   4 | gates= 190 |   91.7s | overall 801/1000
21:37:27 | delta=0.018 | trial  10 | gates= 188 |   83.1s | overall 802/1000
21:37:27 | delta=0.008 | trial  99 | gates= 188 |  102.2s | overall 803/1000
21:37:31 | delta=0.018 | trial   3 | gates= 190 |   96.5s | overall 804/1000
21:37:31 | delta=0.018 | trial   2 | gates= 190 |   97.5s | overall 805/1000
21:37:31 | delta=0.018 | trial   6 | gates= 190 |   95.9s | overall 806/1000
21:37:35 | delta=0.018 | trial   5 | gates= 188 |  101.1s | overall 807/1000
21:37:36 | delta=0.018 | trial   7 | gates= 192 |   98.2s | overall 808/1000
21:37:36 | delta=0.018 | trial   8 | gates= 186 |   96.4s | overall 809/1000
21:37:42 | delta=0.018 | trial   9 | gates= 186 |  101.8s | overall 810/1000
21:37:53 | delta=0.018 | trial  11 | gates= 184 |   98.3s | overall 811/1000
21:37:56 | delta=0.018 | trial  12 | gates= 190 |   97.5s | overall 812/1000
21:37:59 | delta=0.018 | trial  15 | gates= 192 |   82.8s | overall 813/1000
21:38:05 | delta=0.018 | trial  16 | gates= 188 |   82.8s | overall 814/1000
21:38:07 | delta=0.018 | trial  13 | gates= 182 |   99.6s | overall 815/1000
21:38:11 | delta=0.018 | trial  14 | gates= 188 |   98.7s | overall 816/1000
21:38:11 | delta=0.018 | trial  18 | gates= 182 |   82.9s | overall 817/1000
