# started 2026-09-01 00:19:58
# cached: b=0.50 N=10 (100 trials reused)
00:27:18 | b=0.15 | trial  60 | gates= 232 |   42.9s | overall 358/1000
00:27:18 | b=0.15 | trial  59 | gates= 214 |   43.9s | overall 359/1000
00:27:20 | b=0.15 | trial  58 | gates= 228 |   45.1s | overall 360/1000
00:27:22 | b=0.15 | trial  64 | gates= 222 |   43.2s | overall 361/1000
00:27:23 | b=0.15 | trial  65 | gates= 230 |   42.9s | overall 362/1000
00:27:23 | b=0.15 | trial  63 | gates= 238 |   44.5s | overall 363/1000
00:27:24 | b=0.15 | trial  66 | gates= 232 |   43.8s | overall 364/1000
00:27:26 | b=0.15 | trial  68 | gates= 220 |   44.3s | overall 365/1000
00:27:26 | b=0.15 | trial  67 | gates= 228 |   44.8s | overall 366/1000
00:27:27 | b=0.15 | trial  71 | gates= 224 |   43.6s | overall 367/1000
00:27:27 | b=0.15 | trial  61 | gates= 218 |   49.5s | overall 368/1000
00:27:28 | b=0.15 | trial  62 | gates= 228 |   49.7s | overall 369/1000
00:27:28 | b=0.15 | trial  69 | gates= 236 |   45.2s | overall 370/1000
00:27:28 | b=0.15 | trial  70 | gates= 234 |   45.6s | overall 371/1000
00:27:29 | b=0.15 | trial  74 | gates= 232 |   44.5s | overall 372/1000
00:27:29 | b=0.15 | trial  72 | gates= 222 |   45.1s | overall 373/1000
00:27:31 | b=0.15 | trial  73 | gates= 214 |   46.8s | overall 374/1000
00:27:32 | b=0.15 | trial  76 | gates= 216 |   42.9s | overall 375/1000
00:27:33 | b=0.15 | trial  75 | gates= 222 |   45.6s | overall 376/1000
00:27:33 | b=0.15 | trial  77 | gates= 222 |   44.0s | overall 377/1000
00:27:40 | b=0.15 | trial  78 | gates= 220 |   43.3s | overall 378/1000
00:27:46 | b=0.15 | trial  79 | gates= 242 |   48.7s | overall 379/1000
00:27:49 | b=0.15 | trial  80 | gates= 236 |   49.2s | overall 380/1000
00:27:54 | b=0.15 | trial  81 | gates= 224 |   43.8s | overall 381/1000
00:27:55 | b=0.15 | trial  83 | gates= 236 |   41.9s | overall 382/1000
00:28:00 | b=0.15 | trial  85 | gates= 230 |   42.9s | overall 383/1000
00:28:00 | b=0.15 | trial  88 | gates= 230 |   40.3s | overall 384/1000
